finance,natural_disaster,rate_economic_cond,own_or_rent,edu,race
Much better off,Somewhat higher,Poor,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,Hispanic
Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White
Somewhat worse off,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Poor,Pay rent,Some college or Associate's degree,Black
About the same,Somewhat higher,Only fair,Pay rent,Some college or Associate's degree,White
About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White
About the same,Somewhat higher,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White
Much worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Other
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Good,Pay rent,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat better off,Somewhat higher,Good,Own your home with a mortgage or loan,Some college or Associate's degree,Asian
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,Other
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black
Much better off,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,Other
Much better off,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Hispanic
Much better off,About the same,Good,Pay rent,Bachelor's degree or higher,Hispanic
Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic
Somewhat worse off,Somewhat higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),Black
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
